job_id,title,company,location,remote_type,industry,company_size,experience_level,salary_min,salary_max,required_skills,education_required,description,posted_date,applications,days_to_fill
JOB10210,ML Engineer,Civic Pulse Systems,"Phoenix, AZ",onsite,government,startup,mid,111000,132000,PyTorch|Spark|MLflow|TensorFlow|Docker,master,"We are seeking a mid ML Engineer to join our government team at Civic Pulse Systems. You will work with PyTorch, Spark, and MLflow to drive intelligent automation workflows. Our team is built on ownership and autonomy — you will feel it on day one.",2023-01-02,32,26
JOB10054,Product Manager,Apex Commerce Solutions,"Memphis, TN",onsite,retail,startup,mid,90000,114000,Figma|SQL|Roadmapping|User Research|Product Strategy,bachelor,"As a mid Product Manager at Apex Commerce Solutions, you will leverage Figma, SQL, and Roadmapping to deliver impactful solutions in the retail industry. This role will focus on delivering data-driven insights that measurably improves our retail outcomes. We champion fast iteration and experimentation as a core part of how we operate.",2023-01-02,28,23
JOB00052,Data Engineer,Vistas Content Tech,"Los Angeles, CA",hybrid,media,medium,senior,154000,183000,Spark|dbt|Python|AWS|PostgreSQL|Kafka|Azure,master,"As a senior Data Engineer at Vistas Content Tech, you will leverage Spark, dbt, and Python to deliver impactful solutions in the media industry. You will own the design and delivery of intelligent automation workflows end to end. Our team is built on customer obsession — you will feel it on day one.",2023-01-02,77,52
JOB14338,Product Manager,Codex Innovations,"Denver, CO",onsite,tech,startup,senior,140000,183000,SQL|Agile|User Research|Roadmapping|JIRA|Product Strategy|A/B Testing,phd,"We are seeking a senior Product Manager to join our tech team at Codex Innovations. You will work with SQL, Agile, and User Research to drive fraud detection systems. Our team is built on diversity and inclusion — you will feel it on day one.",2023-01-02,18,80
JOB13703,Data Engineer,Forge AI Solutions,"San Antonio, TX",onsite,manufacturing,large,lead,169000,199000,Airflow|Redshift|SQL|Azure|Python|Kafka|Snowflake|BigQuery,bachelor,"We are seeking a lead Data Engineer to join our manufacturing team at Forge AI Solutions. You will work with Airflow, Redshift, and SQL to drive next-generation ML systems. We deeply believe in collaboration and transparency at every level of the organization.",2023-01-02,154,103
JOB05775,Backend Engineer,WaveForm Analytics,"Providence, RI",hybrid,media,enterprise,senior,190000,247000,SQL|Kubernetes|REST APIs|Java|Python|Go|Redis,master,"Join WaveForm Analytics as a senior Backend Engineer and help us build product analytics infrastructure using SQL, Kubernetes, and REST APIs. We value diversity and inclusion and foster an inclusive environment where everyone can thrive.",2023-01-02,241,64
JOB11005,Software Engineer,Nexus Fabrication Tech,"Madison, WI",onsite,manufacturing,small,mid,114000,150000,REST APIs|Rust|TypeScript|Java|Docker|JavaScript,master,"Nexus Fabrication Tech is looking for a passionate Software Engineer with expertise in REST APIs, Rust, and TypeScript. The ideal candidate will have mid-level experience in the manufacturing space. You will own the design and delivery of customer personalization engines end to end.",2023-01-02,41,40
JOB09994,Backend Engineer,Outreach Commerce,"Albany, NY",hybrid,retail,small,entry,51000,69000,Kubernetes|PostgreSQL,bachelor,Join Outreach Commerce as a entry Backend Engineer and help us build data-driven insights using Kubernetes and PostgreSQL. We value diversity and inclusion and foster an inclusive environment where everyone can thrive.,2023-01-02,55,24
JOB08587,UX Designer,Apex Risk Analytics,"St. Louis, MO",hybrid,finance,medium,lead,220000,276000,Adobe XD|Figma|Wireframing|User Research|HTML/CSS|Usability Testing|Design Systems|Prototyping,master,"Apex Risk Analytics is looking for a passionate UX Designer with expertise in Adobe XD, Figma, and Wireframing. The ideal candidate will have lead-level experience in the finance space. You will own the design and delivery of user-facing features end to end.",2023-01-02,83,72
JOB12115,UX Designer,Pioneer Policy Corp,"Madison, WI",remote,government,small,entry,75000,96000,Adobe XD|HTML/CSS|Wireframing,master,"Join Pioneer Policy Corp as a entry UX Designer and help us build fraud detection systems using Adobe XD, HTML/CSS, and Wireframing. We value customer obsession and foster an inclusive environment where everyone can thrive.",2023-01-02,50,15
JOB10663,Data Analyst,Vistas Content Tech,"Miami, FL",onsite,media,large,mid,96000,113000,Excel|Google Analytics|Tableau|Statistics|A/B Testing,master,"We are seeking a mid Data Analyst to join our media team at Vistas Content Tech. You will work with Excel, Google Analytics, and Tableau to drive fraud detection systems. Our team is built on technical excellence — you will feel it on day one.",2023-01-03,145,24
JOB09613,Product Manager,Asclepius Analytics,"Cincinnati, OH",onsite,healthcare,small,entry,79000,95000,JIRA|User Research|Roadmapping,bachelor,"Join Asclepius Analytics as a entry Product Manager and help us build cloud infrastructure using JIRA, User Research, and Roadmapping. We value data-driven decision making and foster an inclusive environment where everyone can thrive.",2023-01-03,39,38
JOB12450,DevOps Engineer,Crestview Asset Management,"Pittsburgh, PA",remote,finance,large,senior,206000,243000,Kubernetes|Linux|Ansible|CI/CD|Python|Prometheus,master,"As a senior DevOps Engineer at Crestview Asset Management, you will leverage Kubernetes, Linux, and Ansible to deliver impactful solutions in the finance industry. You will own the design and delivery of cloud infrastructure end to end. We deeply believe in ownership and autonomy at every level of the organization.",2023-01-03,131,40
JOB13347,Product Manager,Strata Media Solutions,"Oakland, CA",remote,media,small,lead,178000,215000,Roadmapping|SQL|Product Strategy|User Research|A/B Testing|Figma|JIRA|Stakeholder Management,none,"We are seeking a lead Product Manager to join our media team at Strata Media Solutions. You will work with Roadmapping, SQL, and Product Strategy to drive product analytics infrastructure. Our team is built on collaboration and transparency — you will feel it on day one.",2023-01-03,42,115
JOB08118,Product Manager,CivilIQ Technologies,"Nashville, TN",hybrid,government,medium,mid,81000,98000,Agile|JIRA|Stakeholder Management|Roadmapping|Product Strategy|Figma,bachelor,"As a mid Product Manager at CivilIQ Technologies, you will leverage Agile, JIRA, and Stakeholder Management to deliver impactful solutions in the government industry. This role will focus on delivering customer personalization engines that measurably improves our government outcomes. Our team is built on impact at scale — you will feel it on day one.",2023-01-03,78,20
JOB03155,Research Scientist,Mosaic Learning Corp,"Minneapolis, MN",onsite,education,small,entry,63000,76000,PyTorch|LaTeX|Experimentation,master,"As a entry Research Scientist at Mosaic Learning Corp, you will leverage PyTorch, LaTeX, and Experimentation to deliver impactful solutions in the education industry. You will own the design and delivery of next-generation ML systems end to end. Our team is built on ownership and autonomy — you will feel it on day one.",2023-01-03,54,16
JOB01240,UX Designer,Helix Health Systems,"Raleigh, NC",hybrid,healthcare,medium,director,300000,367000,Sketch|User Research|Design Systems|Prototyping|Figma|Adobe XD|Usability Testing|HTML/CSS|Wireframing,master,"We are seeking a director UX Designer to join our healthcare team at Helix Health Systems. You will work with Sketch, User Research, and Design Systems to drive enterprise data platforms. Our team is built on continuous learning — you will feel it on day one.",2023-01-03,80,139
JOB01262,Product Manager,Apex Civic AI,"Austin, TX",onsite,government,enterprise,mid,111000,135000,A/B Testing|Stakeholder Management|Figma|User Research|SQL,bachelor,"We are seeking a mid Product Manager to join our government team at Apex Civic AI. You will work with A/B Testing, Stakeholder Management, and Figma to drive scalable data pipelines. Our team is built on customer obsession — you will feel it on day one.",2023-01-03,227,35
JOB13254,UX Designer,SynapticIO,"Albany, NY",onsite,tech,enterprise,senior,221000,273000,User Research|Usability Testing|Prototyping|Adobe XD|Figma|Wireframing|HTML/CSS|Sketch,bachelor,"Join SynapticIO as a senior UX Designer and help us build customer personalization engines using User Research, Usability Testing, and Prototyping. We value technical excellence and foster an inclusive environment where everyone can thrive.",2023-01-03,201,39
JOB05380,Software Engineer,Orion Dev Studios,"Buffalo, NY",hybrid,tech,large,mid,111000,149000,Kubernetes|Git|REST APIs|Redis,master,"Orion Dev Studios is looking for a passionate Software Engineer with expertise in Kubernetes, Git, and REST APIs. The ideal candidate will have mid-level experience in the tech space. Your work will directly shape our approach to data-driven insights across a global user base.",2023-01-03,133,49
JOB10538,Software Engineer,Stellar Shopping Tech,"Los Angeles, CA",remote,retail,medium,mid,111000,134000,JavaScript|TypeScript|REST APIs|Java,bachelor,"Join Stellar Shopping Tech as a mid Software Engineer and help us build scalable data pipelines using JavaScript, TypeScript, and REST APIs. We value fast iteration and experimentation and foster an inclusive environment where everyone can thrive.",2023-01-04,73,26
JOB09665,DevOps Engineer,Cascade Education Tech,"Raleigh, NC",remote,education,startup,entry,68000,85000,Azure|Ansible,bachelor,"As a entry DevOps Engineer at Cascade Education Tech, you will leverage Azure and Ansible to deliver impactful solutions in the education industry. Your work will directly shape our approach to fraud detection systems across a global user base. Our team is built on technical excellence — you will feel it on day one.",2023-01-04,23,27
JOB09980,Product Manager,Gravity Consumer Analytics,"Des Moines, IA",onsite,retail,small,senior,106000,138000,JIRA|Agile|Figma|Product Strategy|Data Analysis|Roadmapping|User Research|Stakeholder Management,phd,"Gravity Consumer Analytics is looking for a passionate Product Manager with expertise in JIRA, Agile, and Figma. The ideal candidate will have senior-level experience in the retail space. This role will focus on delivering customer personalization engines that measurably improves our retail outcomes.",2023-01-04,46,60
JOB00588,Research Scientist,Nexus Fabrication Tech,"New York, NY",hybrid,manufacturing,startup,mid,120000,159000,LaTeX|Experimentation|Deep Learning|Python|TensorFlow|Machine Learning,bachelor,"We are seeking a mid Research Scientist to join our manufacturing team at Nexus Fabrication Tech. You will work with LaTeX, Experimentation, and Deep Learning to drive data-driven insights. We deeply believe in continuous learning at every level of the organization.",2023-01-04,32,33
JOB00921,UX Designer,Eclipse Trading Systems,"Hartford, CT",remote,finance,large,entry,97000,119000,HTML/CSS|Design Systems|Adobe XD,master,"Join Eclipse Trading Systems as a entry UX Designer and help us build enterprise data platforms using HTML/CSS, Design Systems, and Adobe XD. We value diversity and inclusion and foster an inclusive environment where everyone can thrive.",2023-01-04,132,19
JOB03813,Product Manager,Trilliant Consumer Insights,"Madison, WI",hybrid,retail,startup,entry,64000,82000,A/B Testing|Roadmapping,bachelor,Trilliant Consumer Insights is looking for a passionate Product Manager with expertise in A/B Testing and Roadmapping. The ideal candidate will have entry-level experience in the retail space. You will own the design and delivery of customer personalization engines end to end.,2023-01-04,21,38
JOB03062,Data Engineer,Blueprint Media Labs,"San Diego, CA",hybrid,media,enterprise,mid,124000,150000,Azure|Airflow|SQL|Snowflake|dbt,master,"We are seeking a mid Data Engineer to join our media team at Blueprint Media Labs. You will work with Azure, Airflow, and SQL to drive high-availability microservices. Our team is built on continuous learning — you will feel it on day one.",2023-01-04,230,22
JOB10207,DevOps Engineer,Cobalt Banking Tech,"Dallas, TX",remote,finance,large,mid,132000,167000,Grafana|Ansible|Terraform|AWS|Prometheus|GCP,bachelor,"As a mid DevOps Engineer at Cobalt Banking Tech, you will leverage Grafana, Ansible, and Terraform to deliver impactful solutions in the finance industry. This role will focus on delivering cloud infrastructure that measurably improves our finance outcomes. We deeply believe in diversity and inclusion at every level of the organization.",2023-01-04,134,20
JOB02234,UX Designer,Grid Commerce Corp,"Atlanta, GA",onsite,retail,medium,senior,138000,171000,User Research|Prototyping|HTML/CSS|Sketch|Usability Testing|Design Systems|Figma,bachelor,"Join Grid Commerce Corp as a senior UX Designer and help us build intelligent automation workflows using User Research, Prototyping, and HTML/CSS. We value technical excellence and foster an inclusive environment where everyone can thrive.",2023-01-04,70,61
JOB04452,Product Manager,Pinnacle Software,"Indianapolis, IN",remote,tech,large,entry,103000,132000,Agile|Product Strategy|Roadmapping|SQL,bachelor,"Pinnacle Software is looking for a passionate Product Manager with expertise in Agile, Product Strategy, and Roadmapping. The ideal candidate will have entry-level experience in the tech space. This role will focus on delivering high-availability microservices that measurably improves our tech outcomes.",2023-01-04,137,40
JOB12974,Data Scientist,Cobalt Banking Tech,"San Diego, CA",hybrid,finance,large,senior,198000,258000,Machine Learning|NLP|A/B Testing|Statistics|TensorFlow|scikit-learn,none,"Cobalt Banking Tech is looking for a passionate Data Scientist with expertise in Machine Learning, NLP, and A/B Testing. The ideal candidate will have senior-level experience in the finance space. This role will focus on delivering cloud infrastructure that measurably improves our finance outcomes.",2023-01-04,164,55
JOB01526,Data Engineer,Ember Commerce,"Dallas, TX",onsite,retail,small,mid,88000,113000,Spark|Redshift|PostgreSQL|Azure|AWS,bachelor,"As a mid Data Engineer at Ember Commerce, you will leverage Spark, Redshift, and PostgreSQL to deliver impactful solutions in the retail industry. You will own the design and delivery of product analytics infrastructure end to end. We champion fast iteration and experimentation as a core part of how we operate.",2023-01-04,48,33
JOB06336,UX Designer,Apex AI Labs,"Buffalo, NY",onsite,tech,medium,entry,82000,95000,Prototyping|Usability Testing,bachelor,Apex AI Labs is looking for a passionate UX Designer with expertise in Prototyping and Usability Testing. The ideal candidate will have entry-level experience in the tech space. Your work will directly shape our approach to product analytics infrastructure across a global user base.,2023-01-04,94,38
JOB00886,Data Scientist,Zenith Asset Advisors,"Boston, MA",onsite,finance,enterprise,lead,288000,360000,Python|Deep Learning|Statistics|scikit-learn|PyTorch|A/B Testing|TensorFlow|SQL|Spark,bachelor,"We are seeking a lead Data Scientist to join our finance team at Zenith Asset Advisors. You will work with Python, Deep Learning, and Statistics to drive product analytics infrastructure. We deeply believe in impact at scale at every level of the organization.",2023-01-04,217,52
JOB09796,DevOps Engineer,Civic Analytics Corp,"Omaha, NE",onsite,government,small,lead,160000,211000,Ansible|Azure|Docker|Jenkins|Linux|Prometheus|Python|CI/CD|Terraform,master,"Civic Analytics Corp is looking for a passionate DevOps Engineer with expertise in Ansible, Azure, and Docker. The ideal candidate will have lead-level experience in the government space. Your work will directly shape our approach to product analytics infrastructure across a global user base.",2023-01-04,55,101
JOB01436,Product Manager,Circadian Tech,"Madison, WI",onsite,tech,medium,mid,126000,168000,A/B Testing|SQL|JIRA|Figma|Roadmapping,master,"As a mid Product Manager at Circadian Tech, you will leverage A/B Testing, SQL, and JIRA to deliver impactful solutions in the tech industry. This role will focus on delivering customer personalization engines that measurably improves our tech outcomes. Our team is built on psychological safety — you will feel it on day one.",2023-01-04,90,41
JOB00866,Research Scientist,Catalyst Industrial Tech,"San Diego, CA",onsite,manufacturing,medium,mid,126000,154000,Publication Record|Python|Machine Learning|Experimentation,bachelor,"Catalyst Industrial Tech is looking for a passionate Research Scientist with expertise in Publication Record, Python, and Machine Learning. The ideal candidate will have mid-level experience in the manufacturing space. Your work will directly shape our approach to intelligent automation workflows across a global user base.",2023-01-04,65,46
JOB08319,ML Engineer,Urban Analytics Group,"Boise, ID",onsite,government,small,lead,176000,208000,Python|Docker|Airflow|Feature Stores|Kubernetes|AWS SageMaker|MLflow|Databricks,master,"As a lead ML Engineer at Urban Analytics Group, you will leverage Python, Docker, and Airflow to deliver impactful solutions in the government industry. Your work will directly shape our approach to enterprise data platforms across a global user base. Our team is built on continuous learning — you will feel it on day one.",2023-01-04,46,53
JOB02596,UX Designer,Nexus Medical AI,"Washington, DC",hybrid,healthcare,startup,mid,107000,140000,Sketch|Usability Testing|Adobe XD|HTML/CSS|User Research|Wireframing,master,"Join Nexus Medical AI as a mid UX Designer and help us build high-availability microservices using Sketch, Usability Testing, and Adobe XD. We value data-driven decision making and foster an inclusive environment where everyone can thrive.",2023-01-05,29,27
JOB06385,UX Designer,Quantum Leap Digital,"Salt Lake City, UT",hybrid,tech,small,senior,140000,179000,User Research|Sketch|Design Systems|Prototyping|Wireframing|HTML/CSS,master,"As a senior UX Designer at Quantum Leap Digital, you will leverage User Research, Sketch, and Design Systems to deliver impactful solutions in the tech industry. Your work will directly shape our approach to cloud infrastructure across a global user base. We deeply believe in diversity and inclusion at every level of the organization.",2023-01-05,41,78
JOB04368,Backend Engineer,Clarity Content Systems,"New Orleans, LA",hybrid,media,enterprise,senior,138000,176000,Java|Docker|Kubernetes|Go|gRPC|AWS|PostgreSQL,bachelor,"We are seeking a senior Backend Engineer to join our media team at Clarity Content Systems. You will work with Java, Docker, and Kubernetes to drive fraud detection systems. We deeply believe in customer obsession at every level of the organization.",2023-01-05,212,72
JOB00690,Backend Engineer,Apex AI Labs,"Minneapolis, MN",remote,tech,startup,mid,129000,161000,Redis|AWS|gRPC|Kafka|REST APIs|PostgreSQL,master,"Join Apex AI Labs as a mid Backend Engineer and help us build cloud infrastructure using Redis, AWS, and gRPC. We value diversity and inclusion and foster an inclusive environment where everyone can thrive.",2023-01-05,23,44
JOB09696,Product Manager,Atlas Education Corp,"Cincinnati, OH",remote,education,enterprise,senior,196000,243000,Stakeholder Management|User Research|SQL|Figma|Data Analysis|JIRA|A/B Testing|Agile,master,"Atlas Education Corp is looking for a passionate Product Manager with expertise in Stakeholder Management, User Research, and SQL. The ideal candidate will have senior-level experience in the education space. Your work will directly shape our approach to fraud detection systems across a global user base.",2023-01-05,215,66
JOB01715,Research Scientist,Circadian Tech,"Pittsburgh, PA",hybrid,tech,small,entry,84000,107000,PyTorch|Machine Learning|Python,bachelor,"Circadian Tech is looking for a passionate Research Scientist with expertise in PyTorch, Machine Learning, and Python. The ideal candidate will have entry-level experience in the tech space. Your work will directly shape our approach to next-generation ML systems across a global user base.",2023-01-05,37,44
JOB00496,Software Engineer,Cloudify Labs,"Kansas City, MO",remote,tech,large,mid,163000,220000,Kubernetes|Rust|REST APIs|Docker|JavaScript|C++,master,"Cloudify Labs is looking for a passionate Software Engineer with expertise in Kubernetes, Rust, and REST APIs. The ideal candidate will have mid-level experience in the tech space. This role will focus on delivering enterprise data platforms that measurably improves our tech outcomes.",2023-01-05,150,34
JOB09822,ML Engineer,Axiom Technologies,"San Francisco, CA",hybrid,tech,large,entry,91000,122000,Python|Spark,none,We are seeking a entry ML Engineer to join our tech team at Axiom Technologies. You will work with Python and Spark to drive real-time recommendation systems. We deeply believe in psychological safety at every level of the organization.,2023-01-05,136,19
JOB11501,Data Scientist,Precision Works Analytics,"Providence, RI",onsite,manufacturing,medium,senior,167000,212000,Deep Learning|NLP|A/B Testing|R|Statistics|Spark|Machine Learning|Tableau,master,"Precision Works Analytics is looking for a passionate Data Scientist with expertise in Deep Learning, NLP, and A/B Testing. The ideal candidate will have senior-level experience in the manufacturing space. Your work will directly shape our approach to next-generation ML systems across a global user base.",2023-01-05,91,55
JOB11955,Data Engineer,TeachFlow Solutions,"Boise, ID",hybrid,education,large,director,200000,235000,Spark|PostgreSQL|Azure|SQL|Snowflake|AWS,master,"TeachFlow Solutions is looking for a passionate Data Engineer with expertise in Spark, PostgreSQL, and Azure. The ideal candidate will have director-level experience in the education space. Your work will directly shape our approach to cloud infrastructure across a global user base.",2023-01-05,160,101
JOB05624,ML Engineer,Clarity Content Systems,"Atlanta, GA",remote,media,medium,entry,77000,92000,Kubernetes|Python|Airflow,bachelor,"Join Clarity Content Systems as a entry ML Engineer and help us build data-driven insights using Kubernetes, Python, and Airflow. We value data-driven decision making and foster an inclusive environment where everyone can thrive.",2023-01-05,72,43
JOB07128,ML Engineer,LifeLine Analytics,"Salt Lake City, UT",onsite,healthcare,large,lead,276000,328000,PyTorch|Airflow|Feature Stores|TensorFlow|Spark|Python|Databricks|MLflow,master,"LifeLine Analytics is looking for a passionate ML Engineer with expertise in PyTorch, Airflow, and Feature Stores. The ideal candidate will have lead-level experience in the healthcare space. This role will focus on delivering high-availability microservices that measurably improves our healthcare outcomes.",2023-01-05,138,101
JOB00667,Research Scientist,MindPath Learning Tech,"Nashville, TN",hybrid,education,enterprise,entry,99000,116000,Python|LaTeX,phd,Join MindPath Learning Tech as a entry Research Scientist and help us build fraud detection systems using Python and LaTeX. We value fast iteration and experimentation and foster an inclusive environment where everyone can thrive.,2023-01-05,214,31
JOB13705,Data Analyst,Luminary Media AI,"San Jose, CA",hybrid,media,large,mid,120000,142000,SQL|Power BI|Google Analytics|Statistics|Tableau,bachelor,"Join Luminary Media AI as a mid Data Analyst and help us build scalable data pipelines using SQL, Power BI, and Google Analytics. We value diversity and inclusion and foster an inclusive environment where everyone can thrive.",2023-01-05,133,26
JOB12239,Data Scientist,Insight Education AI,"Portland, OR",onsite,education,small,entry,79000,93000,scikit-learn|PyTorch|Deep Learning,master,"Insight Education AI is looking for a passionate Data Scientist with expertise in scikit-learn, PyTorch, and Deep Learning. The ideal candidate will have entry-level experience in the education space. Your work will directly shape our approach to enterprise data platforms across a global user base.",2023-01-06,42,16
JOB07532,Research Scientist,Torque Data Systems,"Washington, DC",remote,manufacturing,large,entry,110000,129000,Deep Learning|PyTorch|TensorFlow|Experimentation,master,"Torque Data Systems is looking for a passionate Research Scientist with expertise in Deep Learning, PyTorch, and TensorFlow. The ideal candidate will have entry-level experience in the manufacturing space. Your work will directly shape our approach to user-facing features across a global user base.",2023-01-06,155,15
JOB03123,DevOps Engineer,DataGov Systems,"Memphis, TN",remote,government,small,mid,88000,102000,CI/CD|Azure|Jenkins|Docker|Kubernetes|Linux,master,"Join DataGov Systems as a mid DevOps Engineer and help us build user-facing features using CI/CD, Azure, and Jenkins. We value psychological safety and foster an inclusive environment where everyone can thrive.",2023-01-06,54,55
JOB08502,ML Engineer,Cloudify Labs,"Philadelphia, PA",onsite,tech,startup,entry,88000,117000,PyTorch|Airflow,bachelor,We are seeking a entry ML Engineer to join our tech team at Cloudify Labs. You will work with PyTorch and Airflow to drive user-facing features. Our team is built on continuous learning — you will feel it on day one.,2023-01-06,27,24
JOB07273,Research Scientist,ProCast Analytics,"Buffalo, NY",hybrid,manufacturing,small,lead,156000,181000,TensorFlow|PyTorch|Statistics|Deep Learning|LaTeX|Machine Learning|Publication Record|Python|Experimentation,bachelor,"ProCast Analytics is looking for a passionate Research Scientist with expertise in TensorFlow, PyTorch, and Statistics. The ideal candidate will have lead-level experience in the manufacturing space. You will own the design and delivery of product analytics infrastructure end to end.",2023-01-06,54,85
JOB03821,Data Scientist,Nexus Medical AI,"San Francisco, CA",remote,healthcare,large,lead,327000,422000,Python|Spark|Tableau|Deep Learning|Statistics|Jupyter|NLP,master,"Nexus Medical AI is looking for a passionate Data Scientist with expertise in Python, Spark, and Tableau. The ideal candidate will have lead-level experience in the healthcare space. This role will focus on delivering data-driven insights that measurably improves our healthcare outcomes.",2023-01-06,150,109
JOB04042,Data Analyst,Foundry Analytics Group,"Madison, WI",onsite,manufacturing,large,senior,155000,190000,Excel|dbt|Statistics|Python|SQL|Looker|Google Analytics,phd,"We are seeking a senior Data Analyst to join our manufacturing team at Foundry Analytics Group. You will work with Excel, dbt, and Statistics to drive data-driven insights. We deeply believe in psychological safety at every level of the organization.",2023-01-06,152,78
JOB13003,Data Engineer,Edu-Pulse Systems,"Madison, WI",onsite,education,medium,senior,156000,188000,BigQuery|Python|Kafka|AWS|dbt|Terraform|Airflow,master,"Edu-Pulse Systems is looking for a passionate Data Engineer with expertise in BigQuery, Python, and Kafka. The ideal candidate will have senior-level experience in the education space. Your work will directly shape our approach to high-availability microservices across a global user base.",2023-01-06,90,38
JOB05597,DevOps Engineer,Pulse Digital Media,"Memphis, TN",onsite,media,medium,director,256000,324000,Linux|CI/CD|Azure|Prometheus|Ansible|Docker|Python|GCP|Grafana|AWS,master,"Pulse Digital Media is looking for a passionate DevOps Engineer with expertise in Linux, CI/CD, and Azure. The ideal candidate will have director-level experience in the media space. You will own the design and delivery of enterprise data platforms end to end.",2023-01-06,72,142
