"id","question","answer","category","difficulty","topic_tags","answer_length"
"bc8e7230be","Design a recommendation system for an e-commerce platform.","Architecture: (1) Candidate generation: collaborative filtering (matrix factorization, ALS), content-based (item features), two-tower models (user/item embeddings). (2) Ranking: gradient-boosted trees or deep ranking model using user features, item features, context (time, device). (3) Re-ranking: diversity, freshness, business rules. Infrastructure: feature store for user/item features, real-time events via Kafka, model serving with low latency (<100ms). Evaluation: offline (NDCG, recall@k), online (CTR, revenue, engagement A/B tests).","System Design","medium","recommendation systems|system design|ranking","64"
"b483e0d6da","Explain the concept of standard deviation.","Standard deviation measures the average amount of variability in a dataset -- how spread out the data points are from the mean. It is the square root of the variance. A low SD means data points are close to the mean; a high SD means they are spread out. In a normal distribution, approximately 68% of data falls within 1 SD, 95% within 2 SDs, and 99.7% within 3 SDs of the mean.","Statistics","easy","descriptive statistics|variability","73"
"e37915f1f9","Explain Vision Transformers (ViT) and how they differ from CNNs.","ViT (Dosovitskiy et al., 2020) splits an image into fixed-size patches (e.g., 16x16), linearly embeds each patch, adds positional embeddings, and processes the sequence with a standard Transformer encoder. Key differences from CNNs: (1) global receptive field from the start (vs. local in CNNs), (2) no built-in translation equivariance, (3) requires more data or pre-training but scales better. Hybrid models (Swin Transformer) combine local and global attention. ViT family now matches or exceeds CNNs.","Computer Vision","medium","vision transformer|architecture|attention","74"
"e4b91eb4e1","Explain Retrieval-Augmented Generation (RAG).","RAG combines a retriever (finds relevant documents from a knowledge base) with a generator (LLM that conditions on retrieved context). Pipeline: encode query, retrieve top-k documents via dense retrieval (e.g., DPR, Contriever) or sparse retrieval (BM25), concatenate with the query, and feed to the generator. Benefits: reduces hallucination, enables knowledge updates without retraining, grounds generation in evidence. Challenges: retrieval quality, latency, context window limits.","NLP","medium","retrieval|language models|knowledge-grounded","64"
"50016f3723","Explain the mathematics behind Support Vector Machines (primal and dual formulations).","Primal: min_{w,b} (1/2)||w||^2 s.t. y_i(w.x_i + b) >= 1. Dual (via Lagrange multipliers alpha_i): max sum(alpha_i) - (1/2) sum_ij alpha_i alpha_j y_i y_j x_i.x_j, s.t. alpha_i >= 0, sum(alpha_i y_i) = 0. The dual reveals: (1) solution depends only on inner products (enabling kernel trick), (2) only support vectors (alpha_i > 0) define the boundary. Soft-margin: add slack variables and C parameter to handle non-separable data.","ML Theory","hard","SVM|optimization|kernel methods","66"
"ff710d1a9b","Explain residual connections and why they help train deep networks.","Residual connections (skip connections) add the input of a layer to its output: y = F(x) + x. This allows gradients to flow directly through the identity mapping during backpropagation, mitigating the vanishing gradient problem. The network only needs to learn the residual F(x) = H(x) - x, which is easier to optimize. Introduced in ResNet, enabling training of 100+ layer networks. Widely used in Transformers, U-Nets, and modern architectures.","Deep Learning","medium","architecture|optimization|training","70"
"ced561ddf4","What is feature engineering? Give examples of important techniques.","Feature engineering is the process of creating, transforming, or selecting features to improve model performance. Techniques: (1) encoding categoricals (one-hot, target encoding), (2) binning/discretization, (3) log/power transforms for skewed data, (4) interaction features, (5) polynomial features, (6) date/time decomposition, (7) aggregation features (groupby stats), (8) text features (TF-IDF, embeddings), (9) domain-specific features. Often the most impactful step in an ML pipeline.","ML Theory","medium","feature engineering|data preprocessing","61"
"bc23d1a721","What is the expectation-maximization (EM) algorithm? Derive the E and M steps for a Gaussian Mixture Model.","EM is an iterative algorithm for MLE with latent variables. E-step: compute posterior probabilities (responsibilities) of each data point belonging to each cluster given current parameters. M-step: update parameters (means, covariances, mixing weights) using weighted MLE with responsibilities as weights. EM is guaranteed to increase the log-likelihood (or keep it constant) at each iteration and converges to a local maximum. For GMM: E-step computes gamma_nk = pi_k N(x_n|mu_k,Sigma_k) / sum_j pi_j N(x_n|mu_j,Sigma_j); M-step updates mu_k, Sigma_k, pi_k.","Statistics","hard","estimation|clustering|latent variables","77"
"233678cd9e","Explain the concept of attention in sequence-to-sequence models.","In seq2seq models, attention allows the decoder to focus on different parts of the input at each generation step. Mechanism: compute alignment scores between decoder hidden state and all encoder states, normalize with softmax to get attention weights, compute weighted sum (context vector). Types: additive (Bahdanau), multiplicative (Luong), scaled dot-product (Transformer). Attention solves the information bottleneck of fixed-length encoding and enables handling of long sequences.","NLP","medium","attention|sequence models|translation","65"
"a6988683a8","Explain k-means clustering and its limitations.","K-means partitions n data points into k clusters by iteratively assigning points to the nearest centroid and updating centroids as cluster means. Converges to a local minimum of within-cluster sum of squares. Limitations: must specify k, assumes spherical/equal-size clusters, sensitive to initialization (use k-means++), sensitive to outliers, only finds convex clusters. Alternatives: DBSCAN, hierarchical clustering, GMM.","ML Theory","medium","clustering|unsupervised learning","56"
"f9a35f6126","How would you design a real-time fraud detection system?","Architecture: (1) Real-time feature pipeline: aggregate transaction features in sliding windows (Kafka Streams, Flink). (2) Feature store: user spending patterns, device fingerprints, location history. (3) Model: ensemble of rules, gradient-boosted trees, and a neural network. (4) Serving: sub-100ms latency, shadow mode deployment. (5) Feedback loop: labeled fraud cases retrain the model. Key features: transaction velocity, amount deviation, location anomaly, device trust score. Handle extreme class imbalance with SMOTE, focal loss, or cost-sensitive learning.","System Design","medium","fraud detection|real-time systems|streaming","73"
"89ff462267","Explain the difference between parametric and non-parametric tests.","Parametric tests (e.g., t-test, ANOVA) assume the data follows a specific distribution (usually normal) and use parameters like mean and variance. Non-parametric tests (e.g., Mann-Whitney U, Kruskal-Wallis) make fewer assumptions about the data distribution and are based on ranks or signs. Non-parametric tests are more robust to outliers and skewed data but generally have less statistical power when parametric assumptions hold.","Statistics","medium","hypothesis testing|statistical tests","61"
"5b8867403c","What are common activation functions and their properties?","Sigmoid: output (0,1), smooth, suffers from vanishing gradients. Tanh: output (-1,1), zero-centered, also vanishing gradients. ReLU: max(0,x), computationally efficient, avoids vanishing gradients for positive inputs but can 'die' (always output 0). Leaky ReLU: allows small negative slope. GELU: smooth approximation of ReLU, used in Transformers. Swish: x*sigmoid(x), self-gated. Choice depends on architecture and task.","Deep Learning","easy","activation functions|neural networks","54"
"56569fb3f2","What is an A/B test and how does it work?","An A/B test (randomized controlled experiment) compares two variants (A: control, B: treatment) to measure the causal effect of a change. Steps: (1) Define hypothesis and primary metric. (2) Calculate required sample size (power analysis). (3) Randomly assign users to groups. (4) Run experiment for predetermined duration. (5) Analyze results with statistical tests. (6) Make a decision. Key principles: randomization (eliminates confounders), control group (baseline), single variable (isolate effect).","A/B Testing","easy","experimentation|causal inference","69"
"eff5e0448d","What is feature pyramid network (FPN) and why is it important for detection?","FPN (Lin et al., 2017) builds a top-down architecture with lateral connections to create a multi-scale feature pyramid from a single-scale input. It combines low-resolution, semantically strong features with high-resolution, spatially precise features. This enables detection of objects at different scales. Used as a backbone/neck in Faster R-CNN, Mask R-CNN, RetinaNet. Extensions: PANet, BiFPN (EfficientDet), NAS-FPN.","Computer Vision","medium","object detection|multi-scale|architecture","56"
"a69e6d8fee","What is gradient descent?","Gradient descent is an iterative optimization algorithm that updates parameters in the direction of the negative gradient of the loss function: w = w - lr * dL/dw. Variants: batch GD (full dataset), stochastic GD (single sample), mini-batch GD (subset). Learning rate is critical -- too large causes divergence, too small causes slow convergence. Advanced optimizers: Adam, RMSprop, AdaGrad adapt the learning rate per parameter.","ML Theory","easy","optimization|fundamentals","65"
"a91a85837f","Explain the Neyman-Pearson lemma and its implications for hypothesis testing.","The Neyman-Pearson lemma states that for testing simple hypotheses H0: theta=theta0 vs H1: theta=theta1, the most powerful test at significance level alpha is the likelihood ratio test that rejects H0 when L(theta1)/L(theta0) > k, where k is chosen so the Type I error rate equals alpha. This provides the theoretical foundation for likelihood ratio tests and establishes that no other test of the same size can have higher power.","Statistics","hard","hypothesis testing|mathematical statistics","69"
"180a4baf8f","What is the difference between UNION and UNION ALL?","UNION combines results from multiple SELECT statements and removes duplicates (performs a DISTINCT). UNION ALL combines results without removing duplicates. UNION ALL is faster because it skips the deduplication step. Use UNION when you need unique results; use UNION ALL when duplicates are acceptable or impossible (e.g., combining disjoint datasets). Both require matching column counts and compatible data types.","SQL","medium","set operations|SQL basics","59"
