job_id,company_id,company_name,posted_date,job_title,role_family,seniority,employment_type,remote_type,city,country,region,industry,company_size,funding_stage,company_type,salary_currency,salary_min_usd,salary_max_usd,salary_mid_usd,bonus_target_pct,equity_offered,experience_min_years,experience_max_years,education_required,visa_sponsorship,ai_focus_area,primary_skill_cluster,cloud_stack,llm_stack,required_skills,skills_count,applications_30d,days_open,is_filled,hiring_urgency,description
JOB000023,COMP0172,Orbit Solutions 172,2025-04-12,Research Scientist,research,senior,full_time,hybrid,"San Francisco, CA",United States,North America,consulting,large,subsidiary,services,USD,199000,273000,234000,0.121,1,6,8,master,0,multimodal,research,GCP|BigQuery,Anthropic API|DSPy|pgvector,GCP|Research Methods|Transformers|BigQuery|Deep Learning|Distributed Training|pgvector|PyTorch|Python|Anthropic API|RLHF,11,40,23,1,medium,"Join Orbit Solutions 172 as a senior Research Scientist working on multimodal problems in consulting. You will partner with cross-functional teams to ship production work using GCP, Research Methods, Transformers."
JOB000024,COMP0241,Apex Learning 241,2026-01-26,LLM Engineer,genai-apps,principal,full_time,onsite,"Vancouver, BC",Canada,North America,education,large,public,edtech,USD,215000,281000,254000,0.108,0,11,15,master,0,agents,llm,GCP,OpenAI API|vLLM|LLM Evaluation,Prompt Engineering|Synthetic Data|vLLM|Python|OpenAI API|LLM Evaluation|Vector Databases|FastAPI,8,34,33,1,medium,"We are hiring a LLM Engineer to help scale Apex Learning 241's agents roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Prompt Engineering, Synthetic Data, vLLM."
JOB000025,COMP0149,Nimbus Advisory 149,2024-09-28,AI Engineer,genai-apps,senior,full_time,hybrid,"Boston, MA",United States,North America,consulting,medium,series-d,services,USD,194000,248000,224000,0.092,0,5,9,bachelor,0,automation,llm,GCP|BigQuery,OpenAI API|vLLM|LLM Evaluation,BigQuery|Python|FastAPI|Prompt Engineering|Docker|GCP|Vector Databases|LLM Evaluation|LangChain|Structured Outputs|OpenAI API,11,20,44,1,low,"Nimbus Advisory 149 is looking for a senior AI Engineer to improve automation outcomes for customers in consulting. You will own high-impact projects spanning experimentation, delivery, and operational excellence with BigQuery, Python, FastAPI."
JOB000026,COMP0269,Foundry Marketplace,2024-07-06,Data Engineer,data-platform,senior,full_time,remote,"London, UK",United Kingdom,Europe,retail,enterprise,public,marketplace,USD,135000,200000,164000,0.062,0,5,8,master,1,batch-pipelines,data-platform,Azure|Databricks,,Python|SQL|dbt|Kafka|AWS|Airflow|Spark,7,44,35,1,medium,"Foundry Marketplace is looking for a senior Data Engineer to improve batch pipelines outcomes for customers in retail. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Python, SQL, dbt."
JOB000027,COMP0101,Nimbus AI,2025-08-01,LLM Engineer,genai-apps,senior,full_time,onsite,"Sydney, Australia",Australia,APAC,software,enterprise,public,platform,USD,194000,282000,235000,0.099,1,6,9,bachelor,0,rag,llm,GCP|BigQuery,Gemini API|RAG|Weaviate,Python|Prompt Engineering|Weaviate|BigQuery|Guardrails|Vector Databases|Gemini API|Synthetic Data|Transformers|LLM Evaluation,10,17,28,0,medium,"Nimbus AI is looking for a senior LLM Engineer to improve rag outcomes for customers in software. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Python, Prompt Engineering, Weaviate."
JOB000028,COMP0153,Beacon Learning 153,2026-03-11,ML Engineer,ml-engineering,staff,contract,remote,"London, UK",United Kingdom,Europe,education,small,series-a,learning-platform,USD,184000,249000,206000,0.128,0,9,11,bachelor,0,ranking,ml-engineering,Azure,,PyTorch|Kubernetes|Azure|Python|CI/CD|Airflow|Docker,7,36,42,1,low,"We are hiring a ML Engineer to help scale Beacon Learning 153's ranking roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across PyTorch, Kubernetes, Azure."
JOB000029,COMP0065,Apex Advisory,2024-10-04,Analytics Engineer,analytics,entry,full_time,hybrid,"San Francisco, CA",United States,North America,consulting,small,series-a,consulting,USD,100000,128000,115000,0.092,0,1,2,master,0,semantic-layer,analytics,GCP,,dbt|SQL|Data Modeling|Python|Looker|Snowflake|GCP|Metrics Layer,8,43,30,1,medium,"We are hiring a Analytics Engineer to help scale Apex Advisory's semantic layer roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across dbt, SQL, Data Modeling."
JOB000030,COMP0077,Foundry Advisory,2024-10-01,Applied Scientist,modeling,entry,full_time,remote,"Boston, MA",United States,North America,consulting,small,series-c,consulting,USD,93000,130000,112000,0.107,1,0,2,phd,0,nlp,ml,AWS|Snowflake,,Statistics|PyTorch|SQL|Python|scikit-learn|AWS|Snowflake|Causal Inference|Feature Engineering,9,69,40,0,medium,"Join Foundry Advisory as a entry Applied Scientist working on nlp problems in consulting. You will partner with cross-functional teams to ship production work using Statistics, PyTorch, SQL."
JOB000031,COMP0240,Prism Solutions,2024-06-25,Data Scientist,modeling,staff,full_time,hybrid,"Austin, TX",United States,North America,consulting,medium,series-c,services,USD,154000,207000,187000,0.107,0,8,12,master,0,experimentation,ml,AWS,,Python|SQL|Pandas|Statistics|A/B Testing|XGBoost|Experiment Design|Feature Engineering|AWS|Jupyter|scikit-learn,11,36,48,1,low,"We are hiring a Data Scientist to help scale Prism Solutions's experimentation roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Python, SQL, Pandas."
JOB000032,COMP0227,Signal Markets,2026-01-03,Data Analyst,analytics,entry,full_time,remote,"Austin, TX",United States,North America,finance,enterprise,subsidiary,bank,USD,95000,128000,112000,0.096,1,1,3,none,0,dashboards,analytics,GCP,,Python|Statistics|SQL|Tableau|Excel|Pandas|GCP|Looker,8,46,32,1,medium,"We are hiring a Data Analyst to help scale Signal Markets's dashboards roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Python, Statistics, SQL."
JOB000033,COMP0213,Nimbus Ops 213,2024-09-03,Research Scientist,research,senior,full_time,remote,"San Francisco, CA",United States,North America,cloud,small,series-c,infra,USD,193000,246000,215000,0.123,1,5,8,phd,0,nlp,research,AWS|Snowflake,OpenAI API|vLLM|LLM Evaluation,Python|PyTorch|Experiment Tracking|OpenAI API|Scientific Writing|RLHF|LLM Evaluation|vLLM,8,55,41,1,low,"We are hiring a Research Scientist to help scale Nimbus Ops 213's nlp roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Python, PyTorch, Experiment Tracking."
JOB000034,COMP0037,Nimbus Retail,2025-05-12,Data Scientist,modeling,staff,contract,hybrid,"New York, NY",United States,North America,retail,startup,series-a,commerce,USD,160000,219000,189000,0.128,0,9,12,bachelor,0,experimentation,ml,Azure|Databricks,,Python|scikit-learn|SQL|Pandas|Databricks|Statistics|Feature Engineering|A/B Testing|Experiment Design,9,37,55,0,low,"Nimbus Retail is looking for a staff Data Scientist to improve experimentation outcomes for customers in retail. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Python, scikit-learn, SQL."
JOB000035,COMP0237,Foundry Bio,2026-03-18,Data Analyst,analytics,senior,full_time,onsite,"New York, NY",United States,North America,healthcare,startup,series-a,provider,USD,144000,202000,173000,0.083,1,5,8,master,0,insights,analytics,Azure|Databricks,,A/B Testing|Databricks|Excel|Azure|Python|Looker|SQL|Pandas,8,46,19,1,medium,"We are hiring a Data Analyst to help scale Foundry Bio's insights roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across A/B Testing, Databricks, Excel."
JOB000036,COMP0004,Vector Solutions,2024-01-16,AI Product Manager,product,mid,contract,hybrid,"Sydney, Australia",Australia,APAC,consulting,large,subsidiary,services,USD,108000,149000,124000,0.131,0,2,6,bachelor,0,evaluation,product,AWS|Snowflake,OpenAI API|vLLM|LLM Evaluation,Prompt Engineering|Product Strategy|Roadmapping|Analytics|User Research|SQL|OpenAI API|Experiment Design,8,49,33,1,medium,"We are hiring a AI Product Manager to help scale Vector Solutions's evaluation roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Prompt Engineering, Product Strategy, Roadmapping."
JOB000037,COMP0091,Pioneer Labs,2025-06-23,MLOps Engineer,ml-operations,mid,full_time,remote,"San Francisco, CA",United States,North America,software,small,series-b,developer-tools,USD,158000,213000,187000,0.111,1,3,6,bachelor,0,monitoring,mlops,GCP,,MLflow|Python|Docker|Kubernetes|Azure|Prometheus|AWS|CI/CD|GCP|Feature Store,10,32,48,1,low,"We are hiring a MLOps Engineer to help scale Pioneer Labs's monitoring roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across MLflow, Python, Docker."
JOB000038,COMP0076,Orbit Capital,2025-05-24,Research Scientist,research,mid,full_time,remote,"Toronto, ON",Canada,North America,finance,startup,series-a,fintech,USD,96000,131000,113000,0.152,1,2,5,master,0,multimodal,research,AWS|Snowflake,Gemini API|RAG|Weaviate,Python|PyTorch|AWS|Deep Learning|Gemini API|Snowflake|Scientific Writing|Weaviate,8,55,40,1,medium,"Orbit Capital is looking for a mid Research Scientist to improve multimodal outcomes for customers in finance. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Python, PyTorch, AWS."
JOB000039,COMP0048,Prism Platform,2025-12-01,AI Product Manager,product,mid,full_time,remote,"New York, NY",United States,North America,software,startup,series-a,platform,USD,133000,178000,158000,0.119,1,3,5,bachelor,0,workflow-automation,product,AWS,,AWS|User Research|Roadmapping|SQL|Product Strategy|Analytics|Prompt Engineering|Experiment Design|Stakeholder Management,9,42,44,1,low,"Prism Platform is looking for a mid AI Product Manager to improve workflow automation outcomes for customers in software. You will own high-impact projects spanning experimentation, delivery, and operational excellence with AWS, User Research, Roadmapping."
JOB000040,COMP0235,Pioneer Investments,2025-01-24,LLM Engineer,genai-apps,entry,full_time,hybrid,"Seattle, WA",United States,North America,finance,small,series-a,fintech,USD,123000,167000,140000,0.105,1,1,3,bachelor,0,evaluation,llm,Azure,Gemini API|RAG|Weaviate,Gemini API|Azure|Prompt Engineering|Guardrails|Fine-Tuning|LLM Evaluation|Synthetic Data|Python|Transformers,9,25,17,1,high,"Join Pioneer Investments as a entry LLM Engineer working on evaluation problems in finance. You will partner with cross-functional teams to ship production work using Gemini API, Azure, Prompt Engineering."
JOB000041,COMP0116,Vector Systems,2025-03-02,Data Scientist,modeling,staff,full_time,remote,"Melbourne, Australia",Australia,APAC,software,small,series-a,product,USD,180000,243000,208000,0.123,0,8,11,phd,0,experimentation,ml,Azure,,scikit-learn|XGBoost|Statistics|Python|SQL|Pandas|Experiment Design|Feature Engineering|Azure|Jupyter|A/B Testing,11,45,55,1,low,"We are hiring a Data Scientist to help scale Vector Systems's experimentation roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across scikit-learn, XGBoost, Statistics."
JOB000042,COMP0275,Signal Insights 275,2024-07-29,Data Scientist,modeling,mid,full_time,hybrid,"Seattle, WA",United States,North America,retail,small,series-a,marketplace,USD,115000,154000,138000,0.118,1,3,5,bachelor,0,experimentation,ml,Azure|Databricks,,XGBoost|SQL|Azure|Jupyter|Feature Engineering|scikit-learn|A/B Testing|Experiment Design|Databricks|Statistics|Python,11,46,26,0,medium,"We are hiring a Data Scientist to help scale Signal Insights 275's experimentation roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across XGBoost, SQL, Azure."
JOB000043,COMP0067,Signal Labs,2025-10-10,MLOps Engineer,ml-operations,mid,full_time,remote,"Bangalore, India",India,APAC,software,large,subsidiary,developer-tools,USD,67000,97000,80000,0.106,0,2,6,master,0,platform,mlops,AWS|Snowflake,,AWS|Python|Prometheus|Azure|Docker|Terraform,6,28,29,1,medium,"We are hiring a MLOps Engineer to help scale Signal Labs's platform roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across AWS, Python, Prometheus."
JOB000044,COMP0123,Pioneer Consulting,2025-11-28,Applied Scientist,modeling,principal,full_time,hybrid,"Toronto, ON",Canada,North America,consulting,medium,series-d,advisory,USD,192000,261000,226000,0.116,0,11,16,phd,0,forecasting,ml,Azure|Databricks,,Causal Inference|Statistics|Python|Databricks|PyTorch|Experiment Design,6,37,36,1,medium,"Pioneer Consulting is looking for a principal Applied Scientist to improve forecasting outcomes for customers in consulting. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Causal Inference, Statistics, Python."
JOB000045,COMP0099,Signal Clinical,2024-06-30,AI Engineer,genai-apps,mid,full_time,remote,"Hyderabad, India",India,APAC,healthcare,small,series-c,biotech,USD,57000,79000,68000,0.088,1,2,5,bachelor,0,knowledge-search,llm,AWS,OpenAI API|vLLM|LLM Evaluation,Python|FastAPI|RAG|Docker|LLM Evaluation|Prompt Engineering|Vector Databases|API Design,8,56,32,0,medium,"We are hiring a AI Engineer to help scale Signal Clinical's knowledge search roadmap. The role blends hands-on delivery, stakeholder collaboration, and modern tooling across Python, FastAPI, RAG."
JOB000046,COMP0244,Vector Cloud,2025-02-03,MLOps Engineer,ml-operations,mid,full_time,hybrid,"Boston, MA",United States,North America,cloud,medium,series-c,cloud-platform,USD,128000,176000,151000,0.079,0,3,5,bachelor,0,monitoring,mlops,GCP|BigQuery,,BigQuery|Kubernetes|CI/CD|Terraform|Azure|GCP|MLflow|Model Monitoring|Prometheus|Python|Docker,11,33,21,1,medium,"Vector Cloud is looking for a mid MLOps Engineer to improve monitoring outcomes for customers in cloud. You will own high-impact projects spanning experimentation, delivery, and operational excellence with BigQuery, Kubernetes, CI/CD."
JOB000047,COMP0254,Helix Edu,2026-01-12,Analytics Engineer,analytics,entry,full_time,hybrid,"San Francisco, CA",United States,North America,education,large,public,edtech,USD,104000,139000,118000,0.086,0,1,2,master,0,elt,analytics,AWS,,Python|Git|Metrics Layer|SQL|Looker|dbt|BigQuery|Data Modeling,8,32,61,1,low,"Helix Edu is looking for a entry Analytics Engineer to improve elt outcomes for customers in education. You will own high-impact projects spanning experimentation, delivery, and operational excellence with Python, Git, Metrics Layer."
JOB000048,COMP0262,Atlas Factory 262,2024-01-04,Analytics Engineer,analytics,entry,full_time,remote,"Seattle, WA",United States,North America,manufacturing,large,late-stage,automation,USD,108000,143000,123000,0.108,1,1,3,bachelor,0,experimentation,analytics,Azure|Databricks,,dbt|SQL|Azure|Data Modeling|Metrics Layer|BigQuery|Python|Snowflake|Git|Databricks|Looker,11,63,29,0,medium,"Join Atlas Factory 262 as a entry Analytics Engineer working on experimentation problems in manufacturing. You will partner with cross-functional teams to ship production work using dbt, SQL, Azure."
JOB000049,COMP0114,Northstar Studios,2024-12-31,Data Engineer,data-platform,staff,full_time,onsite,"Toronto, ON",Canada,North America,media,medium,late-stage,adtech,USD,133000,178000,158000,0.102,1,9,11,bachelor,0,batch-pipelines,data-platform,Azure,,SQL|Spark|Kafka|Python|dbt|Snowflake|Data Modeling|BigQuery|Azure|Airflow|Databricks,11,39,43,1,low,"Northstar Studios is looking for a staff Data Engineer to improve batch pipelines outcomes for customers in media. You will own high-impact projects spanning experimentation, delivery, and operational excellence with SQL, Spark, Kafka."
JOB000050,COMP0133,Nimbus Ops,2025-06-15,MLOps Engineer,ml-operations,mid,full_time,remote,"Boston, MA",United States,North America,cloud,medium,series-c,security,USD,138000,195000,165000,0.096,1,2,6,master,0,platform,mlops,Azure,,Python|Docker|Kubernetes|Prometheus|MLflow|Azure|Feature Store|GCP,8,50,24,1,medium,"Join Nimbus Ops as a mid MLOps Engineer working on platform problems in cloud. You will partner with cross-functional teams to ship production work using Python, Docker, Kubernetes."
JOB000051,COMP0273,Apex Finance,2025-01-26,Applied Scientist,modeling,entry,full_time,onsite,"Hyderabad, India",India,APAC,finance,large,public,bank,USD,46000,63000,54000,0.138,0,0,2,master,0,ranking,ml,Azure|Databricks,,PyTorch|Causal Inference|Feature Engineering|scikit-learn|Experiment Design|Statistics|Azure|Databricks|Python,9,34,21,0,medium,"Apex Finance is looking for a entry Applied Scientist to improve ranking outcomes for customers in finance. You will own high-impact projects spanning experimentation, delivery, and operational excellence with PyTorch, Causal Inference, Feature Engineering."
